"source","time_s","time_ns","action","controller_state","hand_in_frame"
"gui","1681338015",661341905,3,0,""
"gui","1681338016",277575016,3,0,""
"gui","1681338016",757462501,3,0,""
"gui","1681338017",285588741,3,0,""
"gui","1681338017",677607059,3,0,""
"gui","1681338018",79228162,3,0,""
"gui","1681338018",590975999,3,0,""
"gui","1681338018",693470001,3,0,""
"gui","1681338019",469760656,3,0,""
"gui","1681338019",821439027,3,0,""
"gui","1681338020",106928348,3,0,""
"gui","1681338020",622519254,3,0,""
"gui","1681338020",646465301,3,0,""
"gui","1681338020",813473939,3,0,""
"gui","1681338021",161427736,3,0,""
"gui","1681338021",683696269,3,0,""
"gui","1681338023",365633487,2,0,""
"gui","1681338024",620658874,2,0,""
"gui","1681338025",714862823,2,0,""
"gui","1681338026",765845298,2,0,""
"gui","1681338027",718986749,2,0,""
"gui","1681338028",781980276,2,0,""
"gui","1681338029",911222696,1,1,""
"gui","1681338030",501464605,1,1,""
"gui","1681338030",910436153,1,1,""
"gui","1681338031",381567716,1,1,""
"gui","1681338031",885414838,1,1,""
"gui","1681338032",315485239,1,1,""
"gui","1681338033",141630172,4,1,""
"gui","1681338033",926895141,4,1,""
"gui","1681338034",821487188,3,1,""
"gui","1681338035",797486782,3,1,""
"gui","1681338036",581634521,3,0,""
"gui","1681338037",21501541,3,0,""
"gui","1681338037",701465606,3,0,""
"gui","1681338038",453486919,3,0,""
"gui","1681338039",69555521,3,0,""
"gui","1681338039",693486928,3,0,""
"gui","1681338040",277634143,3,0,""
"gui","1681338040",877484321,3,0,""
"gui","1681338041",477708578,3,0,""
"gui","1681338042",69465160,3,0,""
"gui","1681338042",629539012,3,0,""
"gui","1681338043",181718111,3,0,""
"gui","1681338043",741545915,3,0,""
"gui","1681338044",333902835,3,0,""
"gui","1681338045",69422960,3,0,""
"gui","1681338046",701683282,2,0,""
"gui","1681338047",940881252,2,0,""
"gui","1681338049",150726795,2,0,""
"gui","1681338051",205309629,3,0,""
"gui","1681338052",149600744,3,0,""
"gui","1681338054",421425819,3,0,""
"gui","1681338055",157740831,3,0,""
"gui","1681338055",693498134,3,0,""
"gui","1681338056",245551824,3,0,""
"gui","1681338056",853511095,3,0,""
"gui","1681338057",437639713,3,0,""
"gui","1681338057",957461595,3,0,""
"gui","1681338058",389507532,3,0,""
"gui","1681338058",904443025,3,0,""
"gui","1681338059",901555299,3,0,""
"gui","1681338061",965507268,2,0,""
"gui","1681338063",199287891,2,0,""
"gui","1681338064",298405647,2,0,""
"gui","1681338065",461349964,3,0,""
"gui","1681338066",237527847,3,0,""
"gui","1681338066",845475673,3,0,""
"gui","1681338067",365456819,3,0,""
"gui","1681338067",861665010,3,0,""
"gui","1681338068",509480953,3,0,""
"gui","1681338069",133646011,3,0,""
"gui","1681338069",669498443,3,0,""
"gui","1681338070",453402042,3,0,""
"gui","1681338073",229365110,2,1,""
"gui","1681338074",413657426,2,1,""
"gui","1681338076",733424186,8,1,""
"hand","1681338182",168260097,0,1,"False"
"hand","1681338183",246687412,0,1,"False"
"hand","1681338183",746523857,0,1,"False"
"hand","1681338184",248323440,0,1,"False"
"hand","1681338184",747133255,0,1,"True"
