source,time_s,time_ns,action,controller_state,hand_in_frame
"xbox","1681250571","555247068","0","1",""
"xbox","1681250571","655360221","0","1",""
"xbox","1681250571","755232334","0","1",""
"xbox","1681250571","855226516","0","1",""
"xbox","1681250571","955282449","0","1",""
"xbox","1681250572","55273056","0","1",""
"xbox","1681250572","155300855","0","1",""
"xbox","1681250572","255308866","0","1",""
"xbox","1681250572","355231761","0","1",""
"xbox","1681250572","455192565","0","1",""
"xbox","1681250572","555263996","0","1",""
"xbox","1681250572","655275344","0","1",""
"xbox","1681250572","755229234","0","1",""
"xbox","1681250572","855268716","0","1",""
"xbox","1681250572","955261468","0","1",""
"xbox","1681250573","55223226","0","1",""
"xbox","1681250573","155205011","0","1",""
"xbox","1681250583","177112102","0","1",""
"xbox","1681250593","233928680","0","1",""
"xbox","1681250603","253782033","0","1",""
"xbox","1681250613","298482179","0","1",""
"xbox","1681250623","349239826","3","1",""
"xbox","1681250633","397916316","0","1",""
"xbox","1681250643","428587198","0","1",""
"xbox","1681250653","460935354","0","1",""
"xbox","1681250663","508245706","0","1",""
"xbox","1681250673","541504859","0","1",""
"xbox","1681250683","581992387","6","1",""
"xbox","1681250693","603278160","0","1",""
"xbox","1681250703","662205219","0","1",""
"xbox","1681250713","685924053","0","1",""
"xbox","1681250714","371060132","0","1",""
"xbox","1681250714","471194982","0","1",""
"xbox","1681250714","571190595","0","1",""
"xbox","1681250714","671222686","0","1",""
"xbox","1681250714","771179914","0","1",""
"xbox","1681250714","871209383","0","1",""
"xbox","1681250714","971232175","0","1",""
"xbox","1681250715","71134090","0","1",""
"xbox","1681250715","171168327","0","1",""
"xbox","1681250715","271235942","0","1",""
"xbox","1681250715","371222019","0","1",""
"xbox","1681250715","471217155","0","1",""
"xbox","1681250715","571178913","0","1",""
"xbox","1681250715","671234130","0","1",""
"xbox","1681250715","771332979","0","1",""
"xbox","1681250715","871216297","0","1",""
"xbox","1681250715","971225023","0","1",""
"xbox","1681250716","71273565","0","1",""
"xbox","1681250716","171187639","0","1",""
"xbox","1681250716","271351575","0","1",""
"xbox","1681250716","371225118","0","1",""
"xbox","1681250716","471205472","0","1",""
"xbox","1681250716","571204900","0","1",""
"xbox","1681250716","671191692","0","1",""
"xbox","1681250716","771197080","0","1",""
"xbox","1681250716","871162176","0","1",""
"xbox","1681250716","971123218","0","1",""
"xbox","1681250717","71216344","0","1",""
"xbox","1681250717","171239376","0","1",""
"xbox","1681250717","271251678","0","1",""
"xbox","1681250717","371222734","0","1",""
"xbox","1681250717","471151828","0","1",""
"xbox","1681250717","571202754","0","1",""
"xbox","1681250717","671262741","0","1",""
"xbox","1681250717","771239280","0","1",""
"xbox","1681250717","871205806","0","1",""
"xbox","1681250717","971218347","0","1",""
"xbox","1681250718","71196079","0","1",""
"xbox","1681250718","171159267","0","1",""
"xbox","1681250718","271150827","0","1",""
"xbox","1681250718","371129751","0","1",""
"xbox","1681250718","471169471","0","1",""
"xbox","1681250718","571183681","0","1",""
"xbox","1681250718","671244859","0","1",""
"xbox","1681250718","771134614","0","1",""
"xbox","1681250718","871184349","0","1",""
"xbox","1681250718","971192836","0","1",""
"xbox","1681250719","71177959","0","1",""
"xbox","1681250719","171200513","0","1",""
"xbox","1681250719","271155357","0","1",""
"xbox","1681250719","371120929","0","1",""
"xbox","1681250719","471152305","0","1",""
"xbox","1681250719","571141004","0","1",""
"xbox","1681250719","671144485","0","1",""
"xbox","1681250719","771136283","0","1",""
"xbox","1681250719","871140241","0","1",""
"xbox","1681250719","971168041","0","1",""
"xbox","1681250720","71133136","0","1",""
"xbox","1681250720","171147346","0","1",""
"xbox","1681250720","271175861","0","1",""
"xbox","1681250720","371171474","0","1",""
"xbox","1681250720","471164226","0","1",""
"xbox","1681250720","571115016","0","1",""
"xbox","1681250720","671347379","0","1",""
"xbox","1681250720","771152019","0","1",""
"xbox","1681250720","871198177","0","1",""
"xbox","1681250720","971135854","0","1",""
"xbox","1681250721","71194410","0","1",""
"xbox","1681250721","171141386","0","1",""
"xbox","1681250721","271208763","0","1",""
"xbox","1681250721","371201515","0","1",""
"xbox","1681250721","471201419","0","1",""
"xbox","1681250721","571222305","0","1",""
"xbox","1681250721","671139478","0","1",""
"xbox","1681250721","771192550","0","1",""
"xbox","1681250721","871181011","0","1",""
"xbox","1681250721","971121549","0","1",""
"xbox","1681250722","71157217","0","1",""
"xbox","1681250722","171144485","0","1",""
"xbox","1681250722","271155357","0","1",""
"xbox","1681250722","371146440","0","1",""
"xbox","1681250722","471147537","0","1",""
"xbox","1681250722","571218729","0","1",""
"xbox","1681250722","671146392","0","1",""
"xbox","1681250722","771130800","0","1",""
"xbox","1681250722","871243715","0","1",""
"xbox","1681250722","971163749","0","1",""
"xbox","1681250723","71256637","0","1",""
"xbox","1681250723","171158075","0","1",""
"xbox","1681250723","271254062","0","1",""
"xbox","1681250723","371115207","0","1",""
"xbox","1681250723","471235275","0","1",""
"xbox","1681250723","571139574","0","1",""
"xbox","1681250723","671268463","0","1",""
"xbox","1681250723","773008108","0","1",""
"xbox","1681250723","871165037","0","1",""
"xbox","1681250723","971151590","0","1",""
"xbox","1681250724","71179151","0","1",""
"xbox","1681250724","171197414","0","1",""
"xbox","1681250724","271261453","0","1",""
"xbox","1681250724","371167421","0","1",""
"xbox","1681250724","471159458","0","1",""
"xbox","1681250724","571157217","0","1",""
"xbox","1681250724","671154022","0","1",""
"xbox","1681250724","771196603","0","1",""
"xbox","1681250724","871257066","0","1",""
"xbox","1681250724","971152067","0","1",""
"xbox","1681250725","71182966","0","1",""
"xbox","1681250725","171175956","0","1",""
"xbox","1681250725","271269798","0","1",""
"xbox","1681250725","371224164","0","1",""
"xbox","1681250725","471152067","1","1",""
"xbox","1681250725","955135345","1","1",""
"xbox","1681250726","187585830","1","1",""
"xbox","1681250726","436938762","1","1",""
"xbox","1681250726","674832582","1","1",""
"xbox","1681250726","927906036","1","1",""
"xbox","1681250727","188300848","1","1",""
"xbox","1681250727","362506866","1","1",""
"xbox","1681250727","605889320","1","1",""
"xbox","1681250727","852654695","1","1",""
"xbox","1681250728","6556272","1","1",""
"xbox","1681250728","206242322","0","1",""
"xbox","1681250728","262861967","0","1",""
"xbox","1681250728","285571098","0","1",""
"xbox","1681250728","352798938","0","1",""
"xbox","1681250728","452797889","0","1",""
"xbox","1681250728","552786827","0","1",""
"xbox","1681250728","652887344","0","1",""
"xbox","1681250728","752878904","0","1",""
"xbox","change mode","1681250728","852770566","",""
"xbox","change mode","1681250728","952902078","",""
"xbox","1681250729","52818059","0","1",""
"xbox","1681250729","152822971","0","1",""
"xbox","1681250729","252792358","0","1",""
"xbox","1681250729","352877855","0","1",""
"xbox","1681250729","452849388","0","1",""
"xbox","1681250729","552781820","0","1",""
"xbox","1681250729","652768850","0","1",""
"xbox","1681250729","752878189","0","1",""
"xbox","1681250729","852748632","0","1",""
"xbox","1681250729","952842235","3","1",""
"xbox","1681250730","799086332","3","1",""
"xbox","1681250731","419790267","3","1",""
"xbox","1681250732","68580627","3","1",""
"xbox","1681250732","736501693","3","1",""
"xbox","1681250733","357506752","3","1",""
"xbox","1681250734","82122087","5","1",""
"xbox","1681250734","792708158","5","1",""
